ADM4_PCODE,Barangay,DC_2010,DC_2011,DC_2012,DC_2013,DC_2014,DC_2015,DC_2016,DC_2017,DC_2018,DC_2019,DC_2020,DC_2021,DC_2022,DC_2023,DC_2024,DC_2025,DC_Mean
PH1307404028,Damayang Lagi,66,35,44,27,7,22,31,63,91,123,9,8,48,31,176,129,56.875
PH1307404029,Del Monte,16,55,104,48,20,32,34,68,64,100,10,13,27,53,40,41,45.3125
PH1307404030,Dioquino Zobel,1,1,2,1,,5,,4,9,8,1,1,3,3,5,6,3.571428571
PH1307404033,Don Manuel,6,30,13,15,5,10,7,11,5,14,11,6,4,8,16,24,11.5625
PH1307404031,Do̱a Imelda,30,36,33,32,17,32,22,44,37,43,9,11,29,27,94,79,35.9375
PH1307404032,Do̱a Josefa,4,7,11,11,7,8,10,10,5,11,5,3,4,2,5,10,7.0625
PH1307404034,Duyan-duyan,4,23,23,11,4,12,8,9,25,17,3,6,10,7,9,4,10.9375
PH1307404035,E. Rodriguez,30,65,72,86,28,64,44,40,103,155,20,6,23,38,65,80,57.4375
PH1307404036,East Kamias,13,16,21,26,2,24,17,28,26,57,9,4,14,9,16,31,19.5625
PH1307404037,Escopa I,3,9,3,9,,6,6,9,32,8,5,5,1,4,14,8,8.133333333
PH1307404038,Escopa II,,4,2,5,3,1,7,3,25,14,4,1,,8,11,14,7.285714286
PH1307404039,Escopa III,19,4,8,27,3,7,20,16,130,48,7,2,16,9,116,24,28.5
PH1307404040,Escopa IV,2,3,,18,,2,6,4,27,12,1,2,3,3,11,9,7.357142857
PH1307404041,Fairview,136,150,314,220,93,287,138,215,171,388,27,26,76,96,164,233,170.875
PH1307404141,Greater Lagro,28,73,87,71,20,214,31,66,77,78,11,4,29,12,31,55,55.4375
PH1307404043,Gulod,294,315,242,181,46,145,71,190,113,235,23,37,61,97,417,268,170.9375
PH1307404140,Holy Spirit,108,243,249,148,105,329,220,247,485,374,56,47,182,112,326,497,233
PH1307404044,Horseshoe,9,11,1,10,5,3,5,12,26,17,2,1,9,2,11,9,8.3125
PH1307404045,Immaculate Concepcion,9,22,25,16,11,17,10,12,45,83,8,7,12,18,31,39,22.8125
PH1307404046,Kaligayahan,157,149,247,136,51,269,81,153,102,132,42,22,125,69,110,103,121.75
PH1307404047,Kalusugan,5,10,2,7,4,7,13,12,24,31,12,7,11,7,14,24,11.875
PH1307404048,Kamuning,22,42,50,44,9,60,29,48,118,134,18,17,52,43,52,51,49.3125
PH1307404049,Katipunan,8,16,14,11,3,12,8,11,20,25,6,3,13,23,36,19,14.25
